,ntrees,depth,cv.error
1,10,5,77.36708943
2,10,10,76.79346726
3,10,15,76.61268555
4,10,20,76.08704797
5,10,25,75.71853855
6,10,30,75.32250741
7,10,35,76.15928622
8,50,5,76.66143583
9,50,10,74.61140007
10,50,15,75.53095838
11,50,20,75.77724566
12,50,25,73.87292361
13,50,30,74.68365291
14,50,35,75.21813978
15,100,5,76.06120951
16,100,10,76.42526908
17,100,15,74.2539046
18,100,20,74.28394652
19,100,25,76.04297714
20,100,30,73.75410086
21,100,35,72.67093389
22,250,5,77.78932627
23,250,10,78.19198793
25,250,15,74.56022638
26,250,20,79.10806211
27,250,25,76.0999342
28,250,30,76.68568421
29,250,35,76.0436883
30,500,5,80.93289807
31,500,10,78.97826319
32,500,15,78.05482727
33,500,20,78.83202277
34,500,25,79.02657526
35,500,30,77.92837732
36,500,35,76.86446875
